,Area,Element,Item,Unit,Value,kg_per_animal,animal
13644,Fiji,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,33207.0,3.3207000000000004,chicken
13647,Fiji,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,14190.0,1.419,duck
13650,Fiji,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,116.0,11.6,goat
13653,Fiji,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,450.0,45.0,pig
13656,Fiji,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,301.0,30.1,sheep
13659,Fiji,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,15000.0,1.5,"Meat of turkeys, fresh or chilled"
13830,Finland,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2908.0,290.8,horse
13848,Finland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3258.0,325.8,cattle
13851,Finland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17013.0,1.7013000000000003,chicken
13858,Finland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,916.0,91.6,pig
13861,Finland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,207.0,20.7,sheep
13864,Finland,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,98961.0,9.8961,"Meat of turkeys, fresh or chilled"
14103,France,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3195.0,319.5,cattle
14106,France,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15176.0,1.5176,chicken
14109,France,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,30517.0,3.0517000000000003,duck
14112,France,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,97.0,9.7,goat
14115,France,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,937.0,93.7,pig
14119,France,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,195.0,19.5,sheep
14122,France,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,81172.0,8.1172,"Meat of turkeys, fresh or chilled"
14329,French Polynesia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1759.0,175.9,cattle
14332,French Polynesia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8770.0,0.877,chicken
14335,French Polynesia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10000.0,1.0,duck
14338,French Polynesia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
14341,French Polynesia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,300.0,30.0,pig
14344,French Polynesia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
14463,Gabon,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1193.0,119.3,cattle
14466,Gabon,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
14469,Gabon,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,104.0,10.4,goat
14472,Gabon,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,301.0,30.1,pig
14475,Gabon,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,12000.0,1.2,"Meat of rabbits and hares, fresh or chilled"
14478,Gabon,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,124.0,12.4,sheep
14593,Gambia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1200.0,120.0,cattle
14596,Gambia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8686.0,0.8686,chicken
14599,Gambia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,111.0,11.1,goat
14602,Gambia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,456.0,45.6,pig
14605,Gambia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,110.0,11.0,sheep
14740,Georgia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,800.0,80.0,horse
14753,Georgia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1097.0,109.7,cattle
14756,Georgia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15622.0,1.5622,chicken
14759,Georgia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,17544.0,1.7544000000000002,duck
14764,Georgia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,350.0,35.0,pig
14767,Georgia,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,7942.0,0.7942,"Meat of rabbits and hares, fresh or chilled"
14770,Georgia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,244.0,24.4,sheep
14773,Georgia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,124053.0,12.4053,"Meat of turkeys, fresh or chilled"
14988,Germany,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3292.0,329.2,cattle
14991,Germany,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17051.0,1.7051,chicken
14994,Germany,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,22741.0,2.2741,duck
14998,Germany,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,180.0,18.0,goat
15001,Germany,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,952.0,95.2,pig
15004,Germany,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,205.0,20.5,sheep
15007,Germany,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,133001.0,13.3001,"Meat of turkeys, fresh or chilled"
15209,Ghana,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1034.0,103.4,cattle
15212,Ghana,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7789.0,0.7789,chicken
15215,Ghana,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,174.0,17.4,goat
15218,Ghana,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,429.0,42.9,pig
15221,Ghana,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,216.0,21.6,sheep
15438,Greece,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2406.0,240.6,cattle
15441,Greece,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16646.0,1.6646,chicken
15444,Greece,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,26087.0,2.6087000000000002,duck
15447,Greece,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,164.0,16.4,goat
15450,Greece,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,624.0,62.4,pig
15453,Greece,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,115.0,11.5,sheep
15456,Greece,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,57048.0,5.7048000000000005,"Meat of turkeys, fresh or chilled"
15684,Grenada,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1604.0,160.4,cattle
15687,Grenada,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9873.0,0.9873000000000001,chicken
15690,Grenada,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,127.0,12.7,goat
15693,Grenada,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,726.0,72.6,pig
15696,Grenada,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,253.0,25.3,sheep
15867,Guatemala,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1260.0,126.0,horse
15886,Guatemala,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2009.0,200.9,cattle
15889,Guatemala,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16245.0,1.6245,chicken
15892,Guatemala,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,144.0,14.4,goat
15895,Guatemala,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,945.0,94.5,pig
15898,Guatemala,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
16089,Guinea,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1090.0,109.0,cattle
16092,Guinea,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13635.0,1.3635,chicken
16095,Guinea,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,179.0,17.9,goat
16098,Guinea,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,470.0,47.0,pig
16101,Guinea,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,160.0,16.0,sheep
16255,Guinea-Bissau,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1137.0,113.7,cattle
16258,Guinea-Bissau,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8476.0,0.8476,chicken
16261,Guinea-Bissau,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,84.0,8.4,goat
16264,Guinea-Bissau,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,394.0,39.4,pig
16267,Guinea-Bissau,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,100.0,10.0,sheep
16422,Guyana,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1906.0,190.6,cattle
16425,Guyana,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17058.0,1.7058000000000002,chicken
16428,Guyana,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
16431,Guyana,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,640.0,64.0,pig
16434,Guyana,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,100.0,10.0,sheep
16613,Haiti,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1983.0,198.3,horse
16629,Haiti,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1582.0,158.2,cattle
16632,Haiti,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9000.0,0.9,chicken
16635,Haiti,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10000.0,1.0,duck
16638,Haiti,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,15000.0,1.5,"Meat of geese, fresh or chilled"
16641,Haiti,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,152.0,15.2,goat
16644,Haiti,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,600.0,60.0,pig
16647,Haiti,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
16650,Haiti,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,15000.0,1.5,"Meat of turkeys, fresh or chilled"
16835,Honduras,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1243.0,124.3,horse
16851,Honduras,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1970.0,197.0,cattle
16854,Honduras,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,20390.0,2.039,chicken
16857,Honduras,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
16860,Honduras,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,618.0,61.8,pig
16863,Honduras,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,153.0,15.3,sheep
17067,Hungary,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2595.0,259.5,cattle
17070,Hungary,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19611.0,1.9611,chicken
17073,Hungary,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,25591.0,2.5591000000000004,duck
17076,Hungary,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,111.0,11.1,goat
17079,Hungary,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,950.0,95.0,pig
17082,Hungary,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,171.0,17.1,sheep
17085,Hungary,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,109429.0,10.942900000000002,"Meat of turkeys, fresh or chilled"
17257,Iceland,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1101.0,110.1,horse
17261,Iceland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2109.0,210.9,cattle
17264,Iceland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16326.0,1.6326,chicken
17267,Iceland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,855.0,85.5,pig
17270,Iceland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,175.0,17.5,sheep
17438,India,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,3681.0,368.1,buffalo
17443,India,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16449.0,1.6449,chicken
17446,India,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13010.0,1.301,duck
17449,India,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
17452,India,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,350.0,35.0,pig
17455,India,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,120.0,12.0,sheep
17732,Indonesia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1684.0,168.4,horse
17751,Indonesia,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1751.0,175.1,buffalo
17754,Indonesia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,4500.0,450.0,cattle
17757,Indonesia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8834.0,0.8834000000000001,chicken
17760,Indonesia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,8225.0,0.8225,duck
17763,Indonesia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,90.0,9.0,goat
17766,Indonesia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,564.0,56.4,pig
17769,Indonesia,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,14970.0,1.497,"Meat of rabbits and hares, fresh or chilled"
17772,Indonesia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,94.0,9.4,sheep
18047,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1986.0,198.6,buffalo
18050,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1909.0,190.9,"Meat of camels, fresh or chilled"
18053,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2122.0,212.2,cattle
18056,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11114.0,1.1114000000000002,chicken
18059,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,18413.0,1.8413000000000002,duck
18062,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,25000.0,2.5,"Meat of geese, fresh or chilled"
18065,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,154.0,15.4,goat
18070,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,191.0,19.1,sheep
18073,Iran (Islamic Republic of),Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,30000.0,3.0,"Meat of turkeys, fresh or chilled"
18365,Iraq,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1814.0,181.4,buffalo
18368,Iraq,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1779.0,177.9,"Meat of camels, fresh or chilled"
18371,Iraq,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2122.0,212.2,cattle
18374,Iraq,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10838.0,1.0837999999999999,chicken
18377,Iraq,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,173.0,17.3,goat
18380,Iraq,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,241.0,24.1,sheep
18600,Ireland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3251.0,325.1,cattle
18603,Ireland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14800.0,1.48,chicken
18608,Ireland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,915.0,91.5,pig
18611,Ireland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,213.0,21.3,sheep
18614,Ireland,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,98599.0,9.859900000000001,"Meat of turkeys, fresh or chilled"
18831,Israel,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1600.0,160.0,"Meat of camels, fresh or chilled"
18834,Israel,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3343.0,334.3,cattle
18837,Israel,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11334.0,1.1334000000000002,chicken
18840,Israel,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,14097.0,1.4097,duck
18843,Israel,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,33347.0,3.3347,"Meat of geese, fresh or chilled"
18846,Israel,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,101.0,10.1,goat
18849,Israel,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,819.0,81.9,pig
18852,Israel,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,405.0,40.5,sheep
18855,Israel,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,64650.0,6.465,"Meat of turkeys, fresh or chilled"
19123,Italy,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2671.0,267.1,cattle
19126,Italy,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18608.0,1.8608000000000002,chicken
19129,Italy,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,23000.0,2.3,duck
19132,Italy,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,146.0,14.6,goat
19135,Italy,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1195.0,119.5,pig
19138,Italy,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,106.0,10.6,sheep
19141,Italy,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,103217.0,10.3217,"Meat of turkeys, fresh or chilled"
19375,Jamaica,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1486.0,148.6,horse
19391,Jamaica,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2208.0,220.8,cattle
19394,Jamaica,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18119.0,1.8119,chicken
19397,Jamaica,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,146.0,14.6,goat
19400,Jamaica,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,561.0,56.1,pig
19403,Jamaica,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,191.0,19.1,sheep
19619,Japan,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,4200.0,420.0,horse
19644,Japan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,4500.0,450.0,cattle
19647,Japan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,28862.0,2.8862,chicken
19650,Japan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,126.0,12.6,goat
19653,Japan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,780.0,78.0,pig
19656,Japan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,317.0,31.7,sheep
19659,Japan,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,30000.0,3.0,"Meat of turkeys, fresh or chilled"
19924,Jordan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1320.0,132.0,"Meat of camels, fresh or chilled"
19927,Jordan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2403.0,240.3,cattle
19930,Jordan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9832.0,0.9832000000000001,chicken
19933,Jordan,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,29384.0,2.9384,duck
19936,Jordan,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,28000.0,2.8,"Meat of geese, fresh or chilled"
19939,Jordan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,162.0,16.2,goat
19942,Jordan,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,12745.0,1.2745,"Meat of rabbits and hares, fresh or chilled"
19945,Jordan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,137.0,13.7,sheep
19948,Jordan,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,41436.0,4.1436,"Meat of turkeys, fresh or chilled"
20188,Kazakhstan,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1796.0,179.6,horse
20204,Kazakhstan,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,716.0,71.6,"Meat of asses, fresh or chilled"
20207,Kazakhstan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2356.0,235.6,"Meat of camels, fresh or chilled"
20210,Kazakhstan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1764.0,176.4,cattle
20213,Kazakhstan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,17490.0,1.749,chicken
20216,Kazakhstan,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,17515.0,1.7515,duck
20219,Kazakhstan,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,20200.0,2.02,"Meat of geese, fresh or chilled"
20222,Kazakhstan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,181.0,18.1,goat
20225,Kazakhstan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,732.0,73.2,pig
20228,Kazakhstan,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,15854.0,1.5854000000000001,"Meat of rabbits and hares, fresh or chilled"
20231,Kazakhstan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
20234,Kazakhstan,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,18811.0,1.8811000000000002,"Meat of turkeys, fresh or chilled"
20514,Kenya,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,3101.0,310.1,"Meat of camels, fresh or chilled"
20517,Kenya,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1140.0,114.0,cattle
20520,Kenya,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13849.0,1.3849,chicken
20523,Kenya,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,116.0,11.6,goat
20526,Kenya,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,527.0,52.7,pig
20529,Kenya,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,12000.0,1.2,"Meat of rabbits and hares, fresh or chilled"
20532,Kenya,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,120.0,12.0,sheep
20721,Kiribati,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9000.0,0.9,chicken
20724,Kiribati,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,409.0,40.9,pig
20819,Kuwait,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2974.0,297.4,"Meat of camels, fresh or chilled"
20822,Kuwait,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3230.0,323.0,cattle
20825,Kuwait,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13218.0,1.3218,chicken
20828,Kuwait,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,350.0,35.0,goat
20831,Kuwait,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,174.0,17.4,sheep
21016,Kyrgyzstan,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1963.0,196.3,horse
21038,Kyrgyzstan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2154.0,215.4,cattle
21041,Kyrgyzstan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14250.0,1.425,chicken
21044,Kyrgyzstan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,267.0,26.7,goat
21047,Kyrgyzstan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,563.0,56.3,pig
21050,Kyrgyzstan,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,21902.0,2.1902000000000004,"Meat of rabbits and hares, fresh or chilled"
21053,Kyrgyzstan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,276.0,27.6,sheep
21278,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1101.0,110.1,buffalo
21281,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1284.0,128.4,cattle
21284,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8031.0,0.8031,chicken
21287,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,15043.0,1.5043000000000002,duck
21290,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,25000.0,2.5,"Meat of geese, fresh or chilled"
21293,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,140.0,14.0,goat
21296,Lao People's Democratic Republic,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,284.0,28.4,pig
21461,Latvia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2123.0,212.3,cattle
21464,Latvia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16897.0,1.6897,chicken
21467,Latvia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,0.0,0.0,duck
21470,Latvia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,153.0,15.3,goat
21473,Latvia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,848.0,84.8,pig
21476,Latvia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,177.0,17.7,sheep
21479,Latvia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,103093.0,10.3093,"Meat of turkeys, fresh or chilled"
21706,Lebanon,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2114.0,211.4,cattle
21709,Lebanon,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,20714.0,2.0714,chicken
21712,Lebanon,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,188.0,18.8,goat
21715,Lebanon,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,531.0,53.1,pig
21718,Lebanon,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,232.0,23.2,sheep
21886,Lesotho,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,555.0,55.5,"Meat of asses, fresh or chilled"
21889,Lesotho,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1225.0,122.5,cattle
21892,Lesotho,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9563.0,0.9563,chicken
21895,Lesotho,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,83.0,8.3,goat
21898,Lesotho,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,500.0,50.0,pig
21901,Lesotho,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,100.0,10.0,sheep
